"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_val","iter_var"
"168","10","0",0,"a",0,0.109042290389742,2.8,21.9,25,0.101598148942839,1,"N"
"169","7.1","1",0,"a",0,0.0993234245631586,2.5,17.3,25,0.0581388249819421,1,"N"
"170","7.6","1",0,"a",0,0.0927020821687904,2.7,17.3,26,0.0614224861024591,1,"N"
"171","8.2","1",0,"a",0,0.159517997650982,1.5,21.2,20,0.0786203689154736,1,"N"
"172","8.8","1",0,"a",0,0.162089907445789,1.5,21.9,20,0.0861347362791,1,"N"
"173","9.4","1",0,"a",0,0.213415012161272,0.9,24.4,17,0.101598148942839,1,"N"
"174","10","1",0,"a",0,0.109042290389742,2.8,21.9,25,0.101598148942839,1,"N"
"175","7.1","2",0,"a",0,0.0993234245631586,2.5,17.3,25,0.0581388249819421,1,"N"
"176","7.6","2",0,"a",0,0.0927020821687904,2.7,17.3,26,0.0614224861024591,1,"N"
"177","8.2","2",0,"a",0,0.159517997650982,1.5,21.2,20,0.0786203689154736,1,"N"
"178","8.8","2",0,"a",0,0.162089907445789,1.5,21.9,20,0.0861347362791,1,"N"
"179","9.4","2",0,"a",0,0.213415012161272,0.9,24.4,17,0.101598148942839,1,"N"
"180","10","2",0,"a",0,0.109042290389742,2.8,21.9,25,0.101598148942839,1,"N"
