"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_index","Bn","ka","dn0","more_nat_preds_cat"
"182","7.6","0",0,"n",0,0.0143210733592902,11.2,0,59,0.0300768123508457,6,1,1.2,1,1
"183","8.2","0",0,"n",0,0.014712968010485,11.5,0,59,0.0325910785185769,6,1,1.2,1,1
"184","8.8","0",0,"n",0,0.015106914036291,12,0,59,0.0359095039986148,6,1,1.2,1,1
"185","9.4","0",0,"n",0,0.0154747763291561,12.6,0,59,0.0395126110113193,6,1,1.2,1,1
"186","10","0",0,"n",0,0.0157878221211753,13.2,0,59,0.0437808575942333,6,1,1.2,1,1
"187","7.1","1",0,"n",0,0.0139754254115289,10.9,0,59,0.0279864343182139,6,1,1.2,1,1
"188","7.6","1",0,"n",0,0.0143210733592902,11.2,0,59,0.0300768123508457,6,1,1.2,1,1
"189","8.2","1",0,"n",0,0.014712968010485,11.5,0,59,0.0325910785185769,6,1,1.2,1,1
"190","8.8","1",0,"n",0,0.015106914036291,12,0,59,0.0359095039986148,6,1,1.2,1,1
"191","9.4","1",0,"n",0,0.0154747763291561,12.6,0,59,0.0395126110113193,6,1,1.2,1,1
"192","10","1",0,"n",0,0.0157878221211753,13.2,0,59,0.0437808575942333,6,1,1.2,1,1
"193","7.1","2",1,"n",0.0847457627118644,0.0139754254115289,10.9,0,59,0.0279864343182139,6,1,1.2,1,1
"194","7.6","2",1,"n",0.0847457627118644,0.0143210733592902,11.2,0,59,0.0300768123508457,6,1,1.2,1,1
"195","8.2","2",1,"n",0.0847457627118644,0.014712968010485,11.5,0,59,0.0325910785185769,6,1,1.2,1,1
"196","8.8","2",1,"n",0.0847457627118644,0.015106914036291,12,0,59,0.0359095039986148,6,1,1.2,1,1
"197","9.4","2",1,"n",0.0847457627118644,0.0154747763291561,12.6,0,59,0.0395126110113193,6,1,1.2,1,1
"198","10","2",1,"n",0.0847457627118644,0.0157878221211753,13.2,0,59,0.0437808575942333,6,1,1.2,1,1
"199","7.1","0",0.851851851851852,"a",0.779661016949153,0.0139754254115289,10.9,0,59,0.0279864343182139,6,1,1.2,1,1
"200","7.6","0",0.851851851851852,"a",0.779661016949153,0.0143210733592902,11.2,0,59,0.0300768123508457,6,1,1.2,1,1
