"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","param_value","param_name","baseline"
"182","8.5","0",0,"n",0,0.0172076294436434,13.5,0,59,0.0398533891126368,0.4,"Bn","null"
"183","10","0",0.375,"n",0.0508474576271186,0.0181994846444209,15.6,0,59,0.0538677485212409,0.4,"Bn","null"
"184","11.4","0",0.666666666666667,"n",0.169491525423729,0.0192908442153934,17.7,0,59,0.0708174448886921,0.4,"Bn","null"
"185","12.8","0",0,"n",0,0.0203437167128592,18.8,0,59,0.0849075506403212,0.4,"Bn","null"
"186","14.3","0",0,"n",0,0.0211204437740383,20.3,0,59,0.103729602914384,0.4,"Bn","null"
"187","15.7","0",0,"n",0,0.0217793658850906,21.3,0,59,0.121669483062769,0.4,"Bn","null"
"188","17.1","0",0.75,"n",0.406779661016949,0.0219571987580199,23.8,0,59,0.146630098484145,0.4,"Bn","null"
"189","18.6","0",0,"n",0,0.0228311411206743,24.4,0,59,0.163392265801875,0.4,"Bn","null"
"190","20","0",0,"n",0,0.0232008098265921,26.2,0,59,0.182825512225913,0.4,"Bn","null"
"191","7.1","1",0,"n",0,0.016097774839279,12.1,0,59,0.0311725499148007,0.4,"Bn","null"
"192","8.5","1",0,"n",0,0.0172076294436434,13.5,0,59,0.0398533891126368,0.4,"Bn","null"
"193","10","1",0,"n",0,0.0181994846444209,15.6,0,59,0.0538677485212409,0.4,"Bn","null"
"194","11.4","1",0,"n",0,0.0192908442153934,17.7,0,59,0.0708174448886921,0.4,"Bn","null"
"195","12.8","1",0,"n",0,0.0203437167128592,18.8,0,59,0.0849075506403212,0.4,"Bn","null"
"196","14.3","1",0,"n",0,0.0211204437740383,20.3,0,59,0.103729602914384,0.4,"Bn","null"
"197","15.7","1",0,"n",0,0.0217793658850906,21.3,0,59,0.121669483062769,0.4,"Bn","null"
"198","17.1","1",0.03125,"n",0.0169491525423729,0.0219571987580199,23.8,0,59,0.146630098484145,0.4,"Bn","null"
"199","18.6","1",0,"n",0,0.0228311411206743,24.4,0,59,0.163392265801875,0.4,"Bn","null"
"200","20","1",0,"n",0,0.0232008098265921,26.2,0,59,0.182825512225913,0.4,"Bn","null"
"201","7.1","2",0.555555555555556,"n",0.0847457627118644,0.016097774839279,12.1,0,59,0.0311725499148007,0.4,"Bn","null"
"202","8.5","2",1,"n",0.0847457627118644,0.0172076294436434,13.5,0,59,0.0398533891126368,0.4,"Bn","null"
"203","10","2",0.625,"n",0.0847457627118644,0.0181994846444209,15.6,0,59,0.0538677485212409,0.4,"Bn","null"
"204","11.4","2",0.333333333333333,"n",0.0847457627118644,0.0192908442153934,17.7,0,59,0.0708174448886921,0.4,"Bn","null"
"205","12.8","2",1,"n",0.0847457627118644,0.0203437167128592,18.8,0,59,0.0849075506403212,0.4,"Bn","null"
"206","14.3","2",1,"n",0.0847457627118644,0.0211204437740383,20.3,0,59,0.103729602914384,0.4,"Bn","null"
"207","15.7","2",1,"n",0.135593220338983,0.0217793658850906,21.3,0,59,0.121669483062769,0.4,"Bn","null"
"208","17.1","2",0.21875,"n",0.11864406779661,0.0219571987580199,23.8,0,59,0.146630098484145,0.4,"Bn","null"
"209","18.6","2",1,"n",0.135593220338983,0.0228311411206743,24.4,0,59,0.163392265801875,0.4,"Bn","null"
"210","20","2",1,"n",0.0847457627118644,0.0232008098265921,26.2,0,59,0.182825512225913,0.4,"Bn","null"
"211","7.1","0",0.84,"a",0.711864406779661,0.016097774839279,12.1,0,59,0.0311725499148007,0.4,"Bn","null"
"212","8.5","0",0.851851851851852,"a",0.779661016949153,0.0172076294436434,13.5,0,59,0.0398533891126368,0.4,"Bn","null"
"213","10","0",0.823529411764706,"a",0.711864406779661,0.0181994846444209,15.6,0,59,0.0538677485212409,0.4,"Bn","null"
"214","11.4","0",0.795454545454545,"a",0.593220338983051,0.0192908442153934,17.7,0,59,0.0708174448886921,0.4,"Bn","null"
"215","12.8","0",0.851851851851852,"a",0.779661016949153,0.0203437167128592,18.8,0,59,0.0849075506403212,0.4,"Bn","null"
"216","14.3","0",0.851851851851852,"a",0.779661016949153,0.0211204437740383,20.3,0,59,0.103729602914384,0.4,"Bn","null"
"217","15.7","0",0.901960784313726,"a",0.779661016949153,0.0217793658850906,21.3,0,59,0.121669483062769,0.4,"Bn","null"
"218","17.1","0",0.777777777777778,"a",0.355932203389831,0.0219571987580199,23.8,0,59,0.146630098484145,0.4,"Bn","null"
"219","18.6","0",0.901960784313726,"a",0.779661016949153,0.0228311411206743,24.4,0,59,0.163392265801875,0.4,"Bn","null"
"220","20","0",0.851851851851852,"a",0.779661016949153,0.0232008098265921,26.2,0,59,0.182825512225913,0.4,"Bn","null"
"221","7.1","1",0.02,"a",0.0169491525423729,0.016097774839279,12.1,0,59,0.0311725499148007,0.4,"Bn","null"
"222","8.5","1",0.0185185185185185,"a",0.0169491525423729,0.0172076294436434,13.5,0,59,0.0398533891126368,0.4,"Bn","null"
"223","10","1",0.0588235294117647,"a",0.0508474576271186,0.0181994846444209,15.6,0,59,0.0538677485212409,0.4,"Bn","null"
