"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","yn","Bn","ka","dn0"
"798",18,"7.6",18,"n",0.901836957959405,0.00117517392480524,2,0.151929057457705,9.3,1,1,1.3,0.46
"799",19,"7.6",20,"n",0.901836957959405,0.00130308911653423,2,0.137015239003296,9.3,1,1,1.3,0.46
"800",20,"7.6",22,"a",0.901836957959405,0.00144492760585321,2,0.123565406336813,9.3,1,1,1.3,0.46
"801",21,"7.6",24,"a",0.901836957959405,0.00160220491420385,2,0.11143585015981,9.3,1,1,1.3,0.46
"802",22,"7.6",26,"o",0.901836957959405,0.00177660152432561,0,0.100496968115743,9.3,1,1,1.3,0.46
"803",23,"7.6",26,"o",0.902208140147447,0.0019699808359435,0,0.0906691826941616,9.6,1,1,1.3,0.46
"804",24,"7.6",26,"o",0.902563898421186,0.00218351037668708,0,0.0818347309991052,9.9,1,1,1.3,0.46
"805",25,"7.6",26,"o",0.902905311302148,0.00241923079408183,0,0.0738890132680746,10.2,1,1,1.3,0.46
"806",26,"7.6",26,"o",0.903233353029144,0.00267938483005806,0,0.0667390212061379,10.5,1,1,1.3,0.46
"807",27,"7.6",26,"o",0.903548906277751,0.0029664369911411,0,0.0603019696168536,10.8,1,1,1.3,0.46
"808",28,"7.6",26,"o",0.90385277302424,0.0032830951047925,0,0.0545041024570165,11.1,1,1,1.3,0.46
"809",29,"7.6",26,"o",0.904145683866642,0.00363233394063444,0,0.0492796489895368,11.4,1,1,1.3,0.46
"810",30,"7.6",26,"o",0.90452033416949,0.00401742109203077,0,0.044574444571771,11.8,1,1,1.3,0.46
"811",31,"7.6",26,"o",0.904878115511478,0.00444149339740325,0,0.0403344394040749,12.2,1,1,1.3,0.46
"812",32,"7.6",26,"o",0.905220302679012,0.00490838856777161,0,0.036511553445745,12.6,1,1,1.3,0.46
"813",33,"7.6",26,"o",0.905548037567351,0.00542231383150064,0,0.0330629655713298,13,1,1,1.3,0.46
"814",34,"7.6",26,"o",0.905862346617165,0.00598788093679387,0,0.0299504955785674,13.4,1,1,1.3,0.46
"815",35,"7.6",26,"o",0.906164155520456,0.00661014442111973,0,0.0271400655333717,13.8,1,1,1.3,0.46
"816",36,"7.6",26,"o",0.906525106533149,0.00729464344936838,0,0.0246031507989564,14.3,1,1,1.3,0.46
"817",37,"7.6",26,"o",0.906869296308001,0.00804681899794866,0,0.0223118420520092,14.8,1,1,1.3,0.46
"818",38,"7.6",26,"o",0.907198029683709,0.00887318495698163,0,0.0202412591481969,15.3,1,1,1.3,0.46
"819",39,"7.6",26,"o",0.907512471513711,0.00978086885845114,0,0.0183691951161297,15.8,1,1,1.3,0.46
"820",40,"7.6",26,"o",0.907813665551181,0.0107776688094841,0,0.0166758063515985,16.3,1,1,1.3,0.46
"821",41,"7.6",26,"o",0.908102550295741,0.0118721156317254,0,0.0151433422761245,16.8,1,1,1.3,0.46
"822",42,"7.6",26,"o",0.908434149976338,0.0130735406787031,0,0.0137567292684119,17.4,1,1,1.3,0.46
"823",43,"7.6",26,"o",0.908750550889645,0.0143912915196369,0,0.0125014353011091,18,1,1,1.3,0.46
"824",44,"7.6",26,"o",0.909052921251075,0.0158363497062513,0,0.0113644662803045,18.6,1,1,1.3,0.46
"825",45,"7.6",26,"o",0.9093423054937,0.0174207126296417,0,0.0103341899680375,19.2,1,1,1.3,0.46
"826",46,"7.6",26,"o",0.909619640766994,0.0191574861571888,0,0.00940018216634414,19.8,1,1,1.3,0.46
"827",47,"7.6",26,"o",0.90988577081223,0.0210609856016688,0,0.00855309199619942,20.4,1,1,1.3,0.46
"828",48,"7.6",26,"o",0.910141457695178,0.0231468457660001,0,0.0077845236172219,21,1,1,1.3,0.46
"829",49,"7.6",26,"o",0.910387391777786,0.0254321408724932,0,0.00708693215211523,21.6,1,1,1.3,0.46
"830",50,"7.6",26,"o",0.910624200233944,0.0279355152566754,0,0.00645353192313215,22.2,1,1,1.3,0.46
"831",51,"7.6",26,"o",0.910852454354861,0.0306773257832359,0,0.00587821539144236,22.8,1,1,1.3,0.46
"832",52,"7.6",26,"o",0.911072675842958,0.0336797970259235,0,0.00535548142586265,23.4,1,1,1.3,0.46
"833",53,"7.6",26,"o",0.911285342256234,0.0369671903448994,0,0.00488037172411415,24,1,1,1.3,0.46
"834",54,"7.6",26,"o",0.911490891735878,0.0405659880947641,0,0.00444841437481537,24.6,1,1,1.3,0.46
"835",55,"7.6",26,"o",0.911689727126345,0.0445050943049016,0,0.00405557368752034,25.2,1,1,1.3,0.46
"836",56,"7.6",26,"o",0.911882219578442,0.0488160532917071,0,0.00369820553583997,25.8,1,1,1.3,0.46
"837",57,"7.6",26,"o",0.912068711710574,0.053533287790472,0,0.00337301755871448,26.4,1,1,1.3,0.46
"838",58,"7.6",26,"o",0.912249520391051,0.0586943583341116,0,0.00307703365020788,27,1,1,1.3,0.46
"839",59,"7.6",26,"o",0.912424939194141,0.0643402457574889,0,0.00280756224118925,27.6,1,1,1.3,0.46
"840",60,"7.6",26,"o",NA,NA,NA,NA,28.2,1,1,1.3,0.46
"841",1,"8.2",1,"a",0.900323087417982,0.000257309145571019,0,0.900323087417982,8.2,1,1,1.3,0.46
"842",2,"8.2",1,"a",0.900618184497426,0.000285796453703026,0,0.8108473444515,8.4,1,1,1.3,0.46
"843",3,"8.2",1,"a",0.900903897115042,0.000317333647734983,0,0.73049553258174,8.6,1,1,1.3,0.46
"844",4,"8.2",1,"a",0.901180731037745,0.000352239177509586,0,0.658308498071819,8.8,1,1,1.3,0.46
"845",5,"8.2",1,"a",0.901449154089272,0.000390864080176203,0,0.59343163871662,9,1,1,1.3,0.46
"846",6,"8.2",1,"a",0.901709599763735,0.000433595259813727,0,0.535103005434301,9.2,1,1,1.3,0.46
"847",7,"8.2",1,"a",0.901962470425049,0.000480859092469834,0,0.482642828713391,9.4,1,1,1.3,0.46
"848",8,"8.2",1,"a",0.902208140147447,0.000533125388513371,0,0.435444288849011,9.6,1,1,1.3,0.46
"849",9,"8.2",1,"a",0.902446957243836,0.000590911747289537,2,0.392965373520996,9.8,1,1,1.3,0.46
