"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","yn","Bn","ka","dn0","iter_id"
"207",27,"8.8",26,"o",0.905706810261013,0.004992915362774,0,0.0616566594837617,13.2,1,1,1.3,0.1,16
"208",28,"8.8",26,"o",0.906014759312489,0.00551272807735111,0,0.0558618435021924,13.6,1,1,1.3,0.1,16
"209",29,"8.8",26,"o",0.906310637255117,0.00608458970528729,0,0.0506281829827176,14,1,1,1.3,0.1,16
"210",30,"8.8",26,"o",0.906595241446381,0.00671358081343422,0,0.0458992697752084,14.4,1,1,1.3,0.1,16
"211",31,"8.8",26,"o",0.906936240333652,0.00740526809155029,0,0.0416277111639876,14.9,1,1,1.3,0.1,16
"212",32,"8.8",26,"o",0.907262026337961,0.00816514740752445,0,0.0377672415824507,15.4,1,1,1.3,0.1,16
"213",33,"8.8",26,"o",0.907573738688342,0.0089997676200358,0,0.0342765566429306,15.9,1,1,1.3,0.1,16
"214",34,"8.8",26,"o",0.907872398905995,0.00991629355984075,0,0.0311187397056546,16.4,1,1,1.3,0.1,16
"215",35,"8.8",26,"o",0.908158926115141,0.01092256309564,0,0.0282607612331439,16.9,1,1,1.3,0.1,16
"216",36,"8.8",26,"o",0.908487905721416,0.0120271494135545,0,0.0256745597867919,17.5,1,1,1.3,0.1,16
"217",37,"8.8",26,"o",0.908801890651369,0.0132386455976031,0,0.0233330884758781,18.1,1,1,1.3,0.1,16
"218",38,"8.8",26,"o",0.909102027215682,0.0145671413470701,0,0.0212121580346237,18.7,1,1,1.3,0.1,16
"219",39,"8.8",26,"o",0.909389340898689,0.0160236595134268,0,0.0192901104141453,19.3,1,1,1.3,0.1,16
"220",40,"8.8",26,"o",0.909664752381486,0.0176202411802976,0,0.017547533513295,19.9,1,1,1.3,0.1,16
"221",41,"8.8",26,"o",0.909929091029807,0.019370038395099,0,0.0159670112195676,20.5,1,1,1.3,0.1,16
"222",42,"8.8",26,"o",0.91022448717035,0.0212874152349355,0,0.0145335645989741,21.2,1,1,1.3,0.1,16
"223",43,"8.8",26,"o",0.910506899771985,0.0233869946754702,0,0.0132329108456478,21.9,1,1,1.3,0.1,16
"224",44,"8.8",26,"o",0.910777286968434,0.0256856863812091,0,0.0120522346386943,22.6,1,1,1.3,0.1,16
"225",45,"8.8",26,"o",0.911036509304996,0.028201939978878,0,0.0109800257745608,23.3,1,1,1.3,0.1,16
"226",46,"8.8",26,"o",0.911285342256234,0.0309558834260028,0,0.0100059365459529,24,1,1,1.3,0.1,16
"227",47,"8.8",26,"o",0.91152448682615,0.0339694736550461,0,0.00912065617526474,24.7,1,1,1.3,0.1,16
"228",48,"8.8",26,"o",0.911754578569679,0.0372666605735682,0,0.00831580002735744,25.4,1,1,1.3,0.1,16
