"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","N","yn","ya","iter_id"
"2914",34,"7.1",8,"n",0.946984062589047,0.00975969396395419,0,0.135043440256562,14.6,0.75,0.7,1,11
"2915",35,"7.1",8,"n",0.947132094123637,0.0103060804817256,0,0.127903976367857,14.9,0.75,0.7,1,11
"2916",36,"7.1",8,"n",0.947323268097233,0.0108813549299706,0,0.12116641289543,15.3,0.75,0.7,1,11
"2917",37,"7.1",8,"n",0.947507748660301,0.0114864221078688,0,0.114806115095793,15.7,0.75,0.7,1,11
"2918",38,"7.1",8,"n",0.94768593163913,0.0121227737969528,0,0.108800140142426,16.1,0.75,0.7,1,11
"2919",39,"7.1",8,"n",0.947858180363831,0.0127919739992183,0,0.10312710285873,16.5,0.75,0.7,1,11
"2920",40,"7.1",8,"n",0.948024829046979,0.0134956623936169,0,0.0977670540577577,16.9,0.75,0.7,1,11
"2921",41,"7.1",8,"n",0.94818618574049,0.0142355579517719,0,0.0927013700781096,17.3,0.75,0.7,1,11
"2922",42,"7.1",8,"n",0.948342534931795,0.0150134627205675,0,0.0879126522915248,17.7,0.75,0.7,1,11
"2923",43,"7.1",8,"n",0.94849413983035,0.0158312657795606,0,0.0833846355154545,18.1,0.75,0.7,1,11
"2924",44,"7.1",8,"n",0.948641244387367,0.0166909473814906,0,0.0791021043981678,18.5,0.75,0.7,1,11
"2925",45,"7.1",8,"n",0.948784075084892,0.0175945832845057,0,0.0750508169586842,18.9,0.75,0.7,1,11
"2926",46,"7.1",8,"n",0.948922842524847,0.0185443492850904,0,0.0712174345622466,19.3,0.75,0.7,1,11
"2927",47,"7.1",8,"n",0.949057742844018,0.019542525961066,2,0.0675894576967873,19.7,0.75,0.7,1,11
"2928",48,"7.1",10,"n",0.949057742844018,0.02059150363444,2,0.0641462981617642,19.7,0.75,0.7,1,11
"2929",49,"7.1",12,"n",0.949057742844018,0.0216967869338845,2,0.0608785409452033,19.7,0.75,0.7,1,11
