"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ya","yn","yn_ya"
"244","11.4","0",0.619047619047619,"n",0.481481481481481,0.0927320317623771,4,22.6,27,0.122164430122959,0.9,1,1.11111111111111
"245","12.8","0",0.523809523809524,"n",0.44,0.112970731020219,3.7,26.1,25,0.153715160504045,0.9,1,1.11111111111111
"246","14.3","0",0.473684210526316,"n",0.391304347826087,0.136452363992437,3.1,29.5,23,0.18180159202578,0.9,1,1.11111111111111
"247","15.7","0",0.652173913043478,"n",0.535714285714286,0.094316888237832,5,27.6,28,0.191424223305194,0.9,1,1.11111111111111
"248","17.1","0",0.636363636363636,"n",0.518518518518518,0.104959409257621,4.8,30.2,27,0.211866187738025,0.9,1,1.11111111111111
"249","18.6","0",0.733333333333333,"n",0.628571428571429,0.0562690054642986,9.4,24.5,35,0.211375341317102,0.9,1,1.11111111111111
"250","20","0",0.733333333333333,"n",0.628571428571429,0.0586212095821044,9.6,25,35,0.218007493025617,0.9,1,1.11111111111111
"251","7.1","1",0,"n",0,0.104405419091024,2.2,17.6,24,0.0581388249819421,0.9,1,1.11111111111111
"252","8.5","1",0.125,"n",0.1,0.154898811542791,1.4,21.1,20,0.0774996901503023,0.9,1,1.11111111111111
"253","10","1",0,"n",0,0.178991591325554,1.2,23.8,19,0.101598148942839,0.9,1,1.11111111111111
"254","11.4","1",0,"n",0,0.0927320317623771,4,22.6,27,0.122164430122959,0.9,1,1.11111111111111
"255","12.8","1",0.0952380952380952,"n",0.08,0.112970731020219,3.7,26.1,25,0.153715160504045,0.9,1,1.11111111111111
"256","14.3","1",0.105263157894737,"n",0.0869565217391304,0.136452363992437,3.1,29.5,23,0.18180159202578,0.9,1,1.11111111111111
"257","15.7","1",0,"n",0,0.094316888237832,5,27.6,28,0.191424223305194,0.9,1,1.11111111111111
"258","17.1","1",0,"n",0,0.104959409257621,4.8,30.2,27,0.211866187738025,0.9,1,1.11111111111111
"259","18.6","1",0,"n",0,0.0562690054642986,9.4,24.5,35,0.211375341317102,0.9,1,1.11111111111111
"260","20","1",0,"n",0,0.0586212095821044,9.6,25,35,0.218007493025617,0.9,1,1.11111111111111
"261","7.1","2",0.421052631578947,"n",0.333333333333333,0.104405419091024,2.2,17.6,24,0.0581388249819421,0.9,1,1.11111111111111
"262","8.5","2",0.5,"n",0.4,0.154898811542791,1.4,21.1,20,0.0774996901503023,0.9,1,1.11111111111111
"263","10","2",0.571428571428571,"n",0.421052631578947,0.178991591325554,1.2,23.8,19,0.101598148942839,0.9,1,1.11111111111111
"264","11.4","2",0.380952380952381,"n",0.296296296296296,0.0927320317623771,4,22.6,27,0.122164430122959,0.9,1,1.11111111111111
"265","12.8","2",0.380952380952381,"n",0.32,0.112970731020219,3.7,26.1,25,0.153715160504045,0.9,1,1.11111111111111
"266","14.3","2",0.421052631578947,"n",0.347826086956522,0.136452363992437,3.1,29.5,23,0.18180159202578,0.9,1,1.11111111111111
"267","15.7","2",0.347826086956522,"n",0.285714285714286,0.094316888237832,5,27.6,28,0.191424223305194,0.9,1,1.11111111111111
"268","17.1","2",0.363636363636364,"n",0.296296296296296,0.104959409257621,4.8,30.2,27,0.211866187738025,0.9,1,1.11111111111111
"269","18.6","2",0.266666666666667,"n",0.228571428571429,0.0562690054642986,9.4,24.5,35,0.211375341317102,0.9,1,1.11111111111111
"270","20","2",0.266666666666667,"n",0.228571428571429,0.0586212095821044,9.6,25,35,0.218007493025617,0.9,1,1.11111111111111
"271","7.1","0",0,"a",0,0.104405419091024,2.2,17.6,24,0.0581388249819421,0.9,1,1.11111111111111
"272","8.5","0",0,"a",0,0.154898811542791,1.4,21.1,20,0.0774996901503023,0.9,1,1.11111111111111
"273","10","0",0,"a",0,0.178991591325554,1.2,23.8,19,0.101598148942839,0.9,1,1.11111111111111
"274","11.4","0",0,"a",0,0.0927320317623771,4,22.6,27,0.122164430122959,0.9,1,1.11111111111111
"275","12.8","0",0,"a",0,0.112970731020219,3.7,26.1,25,0.153715160504045,0.9,1,1.11111111111111
"276","14.3","0",0,"a",0,0.136452363992437,3.1,29.5,23,0.18180159202578,0.9,1,1.11111111111111
"277","15.7","0",0,"a",0,0.094316888237832,5,27.6,28,0.191424223305194,0.9,1,1.11111111111111
"278","17.1","0",0,"a",0,0.104959409257621,4.8,30.2,27,0.211866187738025,0.9,1,1.11111111111111
"279","18.6","0",0,"a",0,0.0562690054642986,9.4,24.5,35,0.211375341317102,0.9,1,1.11111111111111
"280","20","0",0,"a",0,0.0586212095821044,9.6,25,35,0.218007493025617,0.9,1,1.11111111111111
"281","7.1","1",0.2,"a",0.0416666666666667,0.104405419091024,2.2,17.6,24,0.0581388249819421,0.9,1,1.11111111111111
"282","8.5","1",0.25,"a",0.05,0.154898811542791,1.4,21.1,20,0.0774996901503023,0.9,1,1.11111111111111
"283","10","1",0.2,"a",0.0526315789473684,0.178991591325554,1.2,23.8,19,0.101598148942839,0.9,1,1.11111111111111
