"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","ya"
"254","11.4","1",0,"n",0,0.0928091333994437,3.2,14.4,25,0.9
"255","12.8","1",0,"n",0,0.0932419666998483,3.2,14.6,25,0.9
"256","14.3","1",0,"n",0,0.0936689250053992,3.2,14.8,25,0.9
"257","15.7","1",0.1,"n",0.0833333333333333,0.102133206414581,3.2,15.1,24,0.9
"258","17.1","1",0,"n",0,0.103781978900799,3,15.3,24,0.9
"259","18.6","1",0.19047619047619,"n",0.166666666666667,0.0996061616917196,3.4,15.3,24,0.9
"260","20","1",0.1,"n",0.0833333333333333,0.102302645856838,3.2,15.3,24,0.9
"261","7.1","2",0.4,"n",0.32,0.092472769977483,3.2,14.1,25,0.9
"262","8.5","2",0.4,"n",0.32,0.0919252292494478,3.2,14.3,25,0.9
"263","10","2",0.4,"n",0.32,0.0923702734239444,3.2,14.3,25,0.9
"264","11.4","2",0.4,"n",0.32,0.0928091333994437,3.2,14.4,25,0.9
"265","12.8","2",0.4,"n",0.32,0.0932419666998483,3.2,14.6,25,0.9
"266","14.3","2",0.4,"n",0.32,0.0936689250053992,3.2,14.8,25,0.9
"267","15.7","2",0.4,"n",0.333333333333333,0.102133206414581,3.2,15.1,24,0.9
"268","17.1","2",0.421052631578947,"n",0.333333333333333,0.103781978900799,3,15.3,24,0.9
"269","18.6","2",0.380952380952381,"n",0.333333333333333,0.0996061616917196,3.4,15.3,24,0.9
"270","20","2",0.4,"n",0.333333333333333,0.102302645856838,3.2,15.3,24,0.9
"271","7.1","0",0,"a",0,0.092472769977483,3.2,14.1,25,0.9
"272","8.5","0",0,"a",0,0.0919252292494478,3.2,14.3,25,0.9
"273","10","0",0,"a",0,0.0923702734239444,3.2,14.3,25,0.9
"274","11.4","0",0,"a",0,0.0928091333994437,3.2,14.4,25,0.9
"275","12.8","0",0,"a",0,0.0932419666998483,3.2,14.6,25,0.9
"276","14.3","0",0,"a",0,0.0936689250053992,3.2,14.8,25,0.9
"277","15.7","0",0,"a",0,0.102133206414581,3.2,15.1,24,0.9
"278","17.1","0",0,"a",0,0.103781978900799,3,15.3,24,0.9
"279","18.6","0",0,"a",0,0.0996061616917196,3.4,15.3,24,0.9
"280","20","0",0,"a",0,0.102302645856838,3.2,15.3,24,0.9
"281","7.1","1",0,"a",0,0.092472769977483,3.2,14.1,25,0.9
"282","8.5","1",0.2,"a",0.04,0.0919252292494478,3.2,14.3,25,0.9
"283","10","1",0.2,"a",0.04,0.0923702734239444,3.2,14.3,25,0.9
"284","11.4","1",0.2,"a",0.04,0.0928091333994437,3.2,14.4,25,0.9
"285","12.8","1",0.2,"a",0.04,0.0932419666998483,3.2,14.6,25,0.9
"286","14.3","1",0.2,"a",0.04,0.0936689250053992,3.2,14.8,25,0.9
"287","15.7","1",0,"a",0,0.102133206414581,3.2,15.1,24,0.9
"288","17.1","1",0.2,"a",0.0416666666666667,0.103781978900799,3,15.3,24,0.9
"289","18.6","1",0.333333333333333,"a",0.0416666666666667,0.0996061616917196,3.4,15.3,24,0.9
"290","20","1",0.25,"a",0.0416666666666667,0.102302645856838,3.2,15.3,24,0.9
"291","7.1","2",1,"a",0.2,0.092472769977483,3.2,14.1,25,0.9
"292","8.5","2",0.8,"a",0.16,0.0919252292494478,3.2,14.3,25,0.9
"293","10","2",0.8,"a",0.16,0.0923702734239444,3.2,14.3,25,0.9
"294","11.4","2",0.8,"a",0.16,0.0928091333994437,3.2,14.4,25,0.9
"295","12.8","2",0.8,"a",0.16,0.0932419666998483,3.2,14.6,25,0.9
"296","14.3","2",0.8,"a",0.16,0.0936689250053992,3.2,14.8,25,0.9
"297","15.7","2",1,"a",0.166666666666667,0.102133206414581,3.2,15.1,24,0.9
"298","17.1","2",0.8,"a",0.166666666666667,0.103781978900799,3,15.3,24,0.9
"299","18.6","2",0.666666666666667,"a",0.0833333333333333,0.0996061616917196,3.4,15.3,24,0.9
"300","20","2",0.75,"a",0.125,0.102302645856838,3.2,15.3,24,0.9
