"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","kn"
"101","7.1","1",0,"a",0,0.0857228775746146,2.5,17.3,25,0.0581388249819421,1
"102","8.5","1",0,"a",0,0.16478102360433,1.3,21.9,19,0.0831983826400026,1
"103","10","1",0,"a",0,0.201505065105907,0.9,25.4,17,0.112063315447455,1
"104","11.4","1",0.2,"a",0.142857142857143,0.125785129221045,2.4,26.4,21,0.137256635097068,1
"105","12.8","1",0,"a",0,0.159485331782494,1.7,27.8,20,0.148940675893818,1
"106","14.3","1",0,"a",0,0.11652211825414,3.3,28,24,0.171024081496852,1
"107","15.7","1",0,"a",0,0.0977824520532233,4.2,27.6,27,0.183034129130455,1
"108","17.1","1",0,"a",0,0.149287407772518,2.7,32.9,22,0.211866187738025,1
"109","18.6","1",0,"a",0,0.130814731853824,3.3,32.9,24,0.220688593180983,1
"110","20","1",0.2,"a",0.0384615384615385,0.111879383794625,3.7,33.1,26,0.231603900063934,1
"111","7.1","2",0.416666666666667,"a",0.2,0.0857228775746146,2.5,17.3,25,0.0581388249819421,1
"112","8.5","2",1,"a",0.263157894736842,0.16478102360433,1.3,21.9,19,0.0831983826400026,1
"113","10","2",1,"a",0.294117647058824,0.201505065105907,0.9,25.4,17,0.112063315447455,1
"114","11.4","2",0.4,"a",0.285714285714286,0.125785129221045,2.4,26.4,21,0.137256635097068,1
"115","12.8","2",0.625,"a",0.25,0.159485331782494,1.7,27.8,20,0.148940675893818,1
"116","14.3","2",0.555555555555556,"a",0.208333333333333,0.11652211825414,3.3,28,24,0.171024081496852,1
"117","15.7","2",1,"a",0.185185185185185,0.0977824520532233,4.2,27.6,27,0.183034129130455,1
"118","17.1","2",1,"a",0.227272727272727,0.149287407772518,2.7,32.9,22,0.211866187738025,1
"119","18.6","2",1,"a",0.208333333333333,0.130814731853824,3.3,32.9,24,0.220688593180983,1
"120","20","2",0.8,"a",0.153846153846154,0.111879383794625,3.7,33.1,26,0.231603900063934,1
"121","7.1","0",0.578947368421053,"n",0.44,0.0919614095716752,2.5,17.3,25,0.0581388249819421,1.1
"122","8.5","0",0.428571428571429,"n",0.315789473684211,0.16478102360433,1.3,21.9,19,0.0831983826400026,1.1
"123","10","0",0.333333333333333,"n",0.235294117647059,0.203014489257965,0.9,25.4,17,0.112063315447455,1.1
"124","11.4","0",0.333333333333333,"n",0.173913043478261,0.117124123943492,2.9,25.7,23,0.138634548269411,1.1
"125","12.8","0",0.555555555555556,"n",0.4,0.105900808533378,3.7,26.3,25,0.15642671783744,1.1
"126","14.3","0",0.555555555555556,"n",0.434782608695652,0.130234430566142,3.1,29.7,23,0.184258591645921,1.1
"127","15.7","0",0.636363636363636,"n",0.518518518518518,0.0977824520532233,4.2,27.6,27,0.183034129130455,1.1
"128","17.1","0",0.636363636363636,"n",0.518518518518518,0.10001210433743,4.6,29.3,27,0.203700559964864,1.1
"129","18.6","0",0.703703703703704,"n",0.59375,0.0689716778478233,7.1,26.9,32,0.211866187738025,1.1
"130","20","0",0.733333333333333,"n",0.628571428571429,0.0558427459756821,9,25.1,35,0.21890984291903,1.1
"131","7.1","1",0.0526315789473684,"n",0.04,0.0919614095716752,2.5,17.3,25,0.0581388249819421,1.1
"132","8.5","1",0.0714285714285714,"n",0.0526315789473684,0.16478102360433,1.3,21.9,19,0.0831983826400026,1.1
"133","10","1",0.0833333333333333,"n",0.0588235294117647,0.203014489257965,0.9,25.4,17,0.112063315447455,1.1
"134","11.4","1",0,"n",0,0.117124123943492,2.9,25.7,23,0.138634548269411,1.1
"135","12.8","1",0.0555555555555556,"n",0.04,0.105900808533378,3.7,26.3,25,0.15642671783744,1.1
"136","14.3","1",0.0555555555555556,"n",0.0434782608695652,0.130234430566142,3.1,29.7,23,0.184258591645921,1.1
"137","15.7","1",0.0454545454545455,"n",0.037037037037037,0.0977824520532233,4.2,27.6,27,0.183034129130455,1.1
"138","17.1","1",0.0454545454545455,"n",0.037037037037037,0.10001210433743,4.6,29.3,27,0.203700559964864,1.1
"139","18.6","1",0.037037037037037,"n",0.03125,0.0689716778478233,7.1,26.9,32,0.211866187738025,1.1
