"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Ba","Bn","Bn_Ba"
"149","18.6","2",1,"n",0.15625,0.0848239480864099,5.1,25.1,32,0.191424223305194,0.5,1,2
"150","20","2",0.8,"n",0.133333333333333,0.0991025377852096,4.1,28.3,30,0.212354408853828,0.5,1,2
"151","7.1","0",0.25,"a",0.176470588235294,0.202104543431828,0.600000000000001,19.2,17,0.0581388249819421,0.5,1,2
"152","8.5","0",0.272727272727273,"a",0.142857142857143,0.142258277691715,1.7,21.1,21,0.0808905333153078,0.5,1,2
"153","10","0",0.529411764705882,"a",0.409090909090909,0.148082454704194,1.9,22.9,22,0.101598148942839,0.5,1,2
"154","11.4","0",0.555555555555556,"a",0.434782608695652,0.143811999151088,2.1,22.9,23,0.104828335740565,0.5,1,2
"155","12.8","0",0.384615384615385,"a",0.277777777777778,0.216182522520295,1.1,27.3,18,0.137256635097068,0.5,1,2
"156","14.3","0",0.555555555555556,"a",0.434782608695652,0.151651939857146,2.1,26.6,23,0.149624696786734,0.5,1,2
"157","15.7","0",0.692307692307692,"a",0.580645161290323,0.0861727115715587,4.4,22.7,31,0.148256093072167,0.5,1,2
"158","17.1","0",0.666666666666667,"a",0.551724137931034,0.102553803413268,4.5,26.3,29,0.18180159202578,0.5,1,2
"159","18.6","0",0.703703703703704,"a",0.59375,0.0848239480864099,5.1,25.1,32,0.191424223305194,0.5,1,2
"160","20","0",0.68,"a",0.566666666666667,0.0991025377852096,4.1,28.3,30,0.212354408853828,0.5,1,2
"161","7.1","1",0.25,"a",0.176470588235294,0.202104543431828,0.600000000000001,19.2,17,0.0581388249819421,0.5,1,2
"162","8.5","1",0.0909090909090909,"a",0.0476190476190476,0.142258277691715,1.7,21.1,21,0.0808905333153078,0.5,1,2
"163","10","1",0.0588235294117647,"a",0.0454545454545455,0.148082454704194,1.9,22.9,22,0.101598148942839,0.5,1,2
"164","11.4","1",0.0555555555555556,"a",0.0434782608695652,0.143811999151088,2.1,22.9,23,0.104828335740565,0.5,1,2
"165","12.8","1",0.0769230769230769,"a",0.0555555555555556,0.216182522520295,1.1,27.3,18,0.137256635097068,0.5,1,2
"166","14.3","1",0.0555555555555556,"a",0.0434782608695652,0.151651939857146,2.1,26.6,23,0.149624696786734,0.5,1,2
"167","15.7","1",0.0384615384615385,"a",0.032258064516129,0.0861727115715587,4.4,22.7,31,0.148256093072167,0.5,1,2
"168","17.1","1",0.0416666666666667,"a",0.0344827586206897,0.102553803413268,4.5,26.3,29,0.18180159202578,0.5,1,2
"169","18.6","1",0.037037037037037,"a",0.03125,0.0848239480864099,5.1,25.1,32,0.191424223305194,0.5,1,2
"170","20","1",0,"a",0,0.0991025377852096,4.1,28.3,30,0.212354408853828,0.5,1,2
"171","7.1","2",0.5,"a",0.352941176470588,0.202104543431828,0.600000000000001,19.2,17,0.0581388249819421,0.5,1,2
"172","8.5","2",0.636363636363636,"a",0.333333333333333,0.142258277691715,1.7,21.1,21,0.0808905333153078,0.5,1,2
"173","10","2",0.411764705882353,"a",0.318181818181818,0.148082454704194,1.9,22.9,22,0.101598148942839,0.5,1,2
"174","11.4","2",0.388888888888889,"a",0.304347826086957,0.143811999151088,2.1,22.9,23,0.104828335740565,0.5,1,2
"175","12.8","2",0.538461538461538,"a",0.388888888888889,0.216182522520295,1.1,27.3,18,0.137256635097068,0.5,1,2
"176","14.3","2",0.388888888888889,"a",0.304347826086957,0.151651939857146,2.1,26.6,23,0.149624696786734,0.5,1,2
"177","15.7","2",0.269230769230769,"a",0.225806451612903,0.0861727115715587,4.4,22.7,31,0.148256093072167,0.5,1,2
"178","17.1","2",0.291666666666667,"a",0.241379310344828,0.102553803413268,4.5,26.3,29,0.18180159202578,0.5,1,2
"179","18.6","2",0.259259259259259,"a",0.21875,0.0848239480864099,5.1,25.1,32,0.191424223305194,0.5,1,2
"180","20","2",0.32,"a",0.266666666666667,0.0991025377852096,4.1,28.3,30,0.212354408853828,0.5,1,2
"181","7.1","0",0,"n",0,0.205730802820876,0.4,19.4,16,0.0581388249819421,0.7,1,1.42857142857143
"182","8.5","0",0.5,"n",0.263157894736842,0.155220048266679,1.3,21.9,19,0.0831983826400026,0.7,1,1.42857142857143
"183","10","0",0,"n",0,0.1963679416803,0.800000000000001,25.4,17,0.112063315447455,0.7,1,1.42857142857143
"184","11.4","0",0,"n",0,0.174732145539291,1.3,24.8,19,0.112063315447455,0.7,1,1.42857142857143
"185","12.8","0",0,"n",0,0.194744079612147,1.1,27.3,18,0.137256635097068,0.7,1,1.42857142857143
"186","14.3","0",0,"n",0,0.18304295332653,1.3,29,19,0.16046578081793,0.7,1,1.42857142857143
"187","15.7","0",0,"n",0,0.186410447030349,1.3,31.3,19,0.184258591645921,0.7,1,1.42857142857143
"188","17.1","0",0,"n",0,0.116682613267012,3.3,29.4,25,0.193166338484406,0.7,1,1.42857142857143
