"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","qn"
"233","10","2",0.470588235294118,"a",0.363636363636364,0.100510201457987,2.6,15.2,22,0.8
"234","11.4","2",0.666666666666667,"a",0.363636363636364,0.107213150016103,2.1,15.3,22,0.8
"235","12.8","2",1,"a",0.4,0.136401163207502,1.5,16.1,20,0.8
"236","14.3","2",1,"a",0.32,0.0855721053674775,3.2,14.8,25,0.8
"237","15.7","2",0.875,"a",0.28,0.085964202391257,3.2,14.8,25,0.8
"238","17.1","2",1,"a",0.28,0.0874000858591923,3.1,15,25,0.8
"239","18.6","2",0.875,"a",0.25,0.0655285212935328,3.8,13.8,28,0.8
"240","20","2",0.666666666666667,"a",0.222222222222222,0.0697165181924295,3.7,14.2,27,0.8
"241","7.1","0",0.6,"n",0.48,0.0876544933811112,3.6,14.1,25,0.9
"242","8.5","0",0.6,"n",0.48,0.0880958824485456,3.6,14.3,25,0.9
"243","10","0",0.6,"n",0.48,0.0885311075984768,3.6,14.3,25,0.9
"244","11.4","0",0.6,"n",0.48,0.0889603268756604,3.6,14.4,25,0.9
"245","12.8","0",0.6,"n",0.48,0.089383692418775,3.6,14.6,25,0.9
"246","14.3","0",0.578947368421053,"n",0.458333333333333,0.0986515746662332,3.4,15.1,24,0.9
"247","15.7","0",0.578947368421053,"n",0.458333333333333,0.0978976145741566,3.4,15.1,24,0.9
"248","17.1","0",0.578947368421053,"n",0.458333333333333,0.0983212381194813,3.4,15.3,24,0.9
"249","18.6","0",0.578947368421053,"n",0.458333333333333,0.0987392674521335,3.4,15.3,24,0.9
"250","20","0",0.578947368421053,"n",0.458333333333333,0.100355551961337,3.4,15.3,24,0.9
"251","7.1","1",0,"n",0,0.0876544933811112,3.6,14.1,25,0.9
"252","8.5","1",0,"n",0,0.0880958824485456,3.6,14.3,25,0.9
"253","10","1",0,"n",0,0.0885311075984768,3.6,14.3,25,0.9
"254","11.4","1",0,"n",0,0.0889603268756604,3.6,14.4,25,0.9
"255","12.8","1",0,"n",0,0.089383692418775,3.6,14.6,25,0.9
"256","14.3","1",0,"n",0,0.0986515746662332,3.4,15.1,24,0.9
"257","15.7","1",0,"n",0,0.0978976145741566,3.4,15.1,24,0.9
"258","17.1","1",0,"n",0,0.0983212381194813,3.4,15.3,24,0.9
"259","18.6","1",0,"n",0,0.0987392674521335,3.4,15.3,24,0.9
"260","20","1",0,"n",0,0.100355551961337,3.4,15.3,24,0.9
"261","7.1","2",0.4,"n",0.32,0.0876544933811112,3.6,14.1,25,0.9
"262","8.5","2",0.4,"n",0.32,0.0880958824485456,3.6,14.3,25,0.9
"263","10","2",0.4,"n",0.32,0.0885311075984768,3.6,14.3,25,0.9
"264","11.4","2",0.4,"n",0.32,0.0889603268756604,3.6,14.4,25,0.9
"265","12.8","2",0.4,"n",0.32,0.089383692418775,3.6,14.6,25,0.9
"266","14.3","2",0.421052631578947,"n",0.333333333333333,0.0986515746662332,3.4,15.1,24,0.9
"267","15.7","2",0.421052631578947,"n",0.333333333333333,0.0978976145741566,3.4,15.1,24,0.9
"268","17.1","2",0.421052631578947,"n",0.333333333333333,0.0983212381194813,3.4,15.3,24,0.9
"269","18.6","2",0.421052631578947,"n",0.333333333333333,0.0987392674521335,3.4,15.3,24,0.9
"270","20","2",0.421052631578947,"n",0.333333333333333,0.100355551961337,3.4,15.3,24,0.9
"271","7.1","0",0,"a",0,0.0876544933811112,3.6,14.1,25,0.9
"272","8.5","0",0,"a",0,0.0880958824485456,3.6,14.3,25,0.9
"273","10","0",0,"a",0,0.0885311075984768,3.6,14.3,25,0.9
"274","11.4","0",0,"a",0,0.0889603268756604,3.6,14.4,25,0.9
"275","12.8","0",0,"a",0,0.089383692418775,3.6,14.6,25,0.9
"276","14.3","0",0,"a",0,0.0986515746662332,3.4,15.1,24,0.9
"277","15.7","0",0,"a",0,0.0978976145741566,3.4,15.1,24,0.9
"278","17.1","0",0,"a",0,0.0983212381194813,3.4,15.3,24,0.9
"279","18.6","0",0,"a",0,0.0987392674521335,3.4,15.3,24,0.9
