"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W"
"230",50,"11.4",26,"o",0.897598350181794,0.00611235372334419,0,0.00567054184629631,25.7
"231",51,"11.4",26,"o",0.897598350181794,0.00637948927324933,0,0.0050898690058724,26.1
"232",52,"11.4",26,"o",0.897598350181794,0.00666342013500807,0,0.00456865802231251,26.5
"233",53,"11.4",26,"o",0.897598350181794,0.00688935503790172,0,0.00410081990337253,26.9
"234",54,"11.4",26,"o",0.897598350181794,0.00710938341517939,0,0.00368088917965985,27.3
"235",55,"11.4",26,"o",0.897598350181794,0.00762236673270638,0,0.0033039600548647,27.6
"236",56,"11.4",26,"o",0.897598350181794,0.00818513489465579,0,0.0029656290943131,27.9
"237",57,"11.4",26,"o",0.897598350181794,0.00880448005957715,0,0.00266194378230657,28.2
"238",58,"11.4",26,"o",0.897598350181794,0.00948845762925669,0,0.00238935634727506,28.5
"239",59,"11.4",26,"o",0.897598350181794,0.0102466902574898,0,0.00214468231531049,28.8
"240",60,"11.4",26,"o",NA,NA,NA,NA,29.1
"241",1,"12.8",1,"a",0.89831352357059,0.00192448595007095,2,0.89831352357059,12.8
"242",2,"12.8",3,"n",0.909213572551383,0.0021423321586227,0,0.816758848036837,12.8
"243",3,"12.8",3,"n",0.909213572551383,0.00225601451012289,0,0.742608230136524,13
"244",4,"12.8",3,"n",0.909213572551383,0.00239009386516288,0,0.675189481928488,13.2
"245",5,"12.8",3,"n",0.909213572551383,0.00254015516545821,0,0.613891441013318,13.4
"246",6,"12.8",3,"n",0.909213572551383,0.00268340019273733,0,0.558158430242435,13.6
"247",7,"12.8",3,"n",0.909213572551383,0.00283646458549784,0,0.507485220410396,13.8
"248",8,"12.8",3,"n",0.909213572551383,0.00300781857875764,0,0.461412450266362,14
"249",9,"12.8",3,"n",0.909213572551383,0.00319059178348415,0,0.419522462326367,14.2
"250",10,"12.8",3,"n",0.909213572551383,0.00329990490895971,0,0.381435516737309,14.4
"251",11,"12.8",3,"n",0.909213572551383,0.00342809890992114,2,0.346806348870711,14.6
"252",12,"12.8",5,"a",0.89831352357059,0.00368668337507411,2,0.3115408332507,14.7
"253",13,"12.8",7,"n",0.909213572551383,0.00410400520346214,2,0.283257153995503,14.7
"254",14,"12.8",9,"n",0.909213572551383,0.00428041910246459,2,0.257541248934989,14.8
"255",15,"12.8",11,"a",0.89831352357059,0.00455342321966301,2,0.23135278679556,14.9
"256",16,"12.8",13,"n",0.909213572551383,0.00506885747591131,2,0.210349093802109,14.9
"257",17,"12.8",15,"n",0.909213572551383,0.00530913085145101,0,0.191252251058762,15
"258",18,"12.8",15,"n",0.909213572551383,0.00558640000494572,0,0.173889142443631,15.2
"259",19,"12.8",15,"n",0.909213572551383,0.0056617421840736,2,0.15810236842907,15.4
"260",20,"12.8",17,"n",0.89831352357059,0.00598507994207589,1,0.142025495668373,15.5
"261",21,"12.8",18,"n",0.909213572551383,0.00625796558651521,2,0.129131508310023,15.6
"262",22,"12.8",20,"n",0.909213572551383,0.00674085127399082,0,0.117408119999504,15.7
"263",23,"12.8",20,"n",0.909213572551383,0.00693559671623102,2,0.106749056231291,15.9
"264",24,"12.8",22,"a",0.89831352357059,0.00713842641823592,2,0.0958941208409657,16
"265",25,"12.8",24,"a",0.89831352357059,0.00794647551320647,2,0.0861429855823518,16
"266",26,"12.8",26,"o",0.89831352357059,0.00884599341399321,0,0.077383408909373,16
"267",27,"12.8",26,"o",0.89831352357059,0.00913126618807678,0,0.0695145627232826,16.3
"268",28,"12.8",26,"o",0.89831352357059,0.00910402283645847,0,0.0624458717794207,16.7
"269",29,"12.8",26,"o",0.89831352357059,0.00917425003334806,0,0.0560959711106087,17.1
"270",30,"12.8",26,"o",0.89831352357059,0.00888831058806489,0,0.0503917694664849,17.5
"271",31,"12.8",26,"o",0.89831352357059,0.0086705091688622,0,0.0452676079883949,17.9
"272",32,"12.8",26,"o",0.89831352357059,0.00858185532432554,0,0.0406645044356672,18.3
"273",33,"12.8",26,"o",0.89831352357059,0.00833597346219894,0,0.036529474263856,18.8
"274",34,"12.8",26,"o",0.89831352357059,0.00784041783317033,0,0.0328149207401457,19.3
"275",35,"12.8",26,"o",0.89831352357059,0.00773840669053712,0,0.0294780870757699,19.8
"276",36,"12.8",26,"o",0.89831352357059,0.00705453964611259,0,0.0264805642691555,20.3
"277",37,"12.8",26,"o",0.89831352357059,0.00705674923846936,0,0.0237878489947625,20.8
"278",38,"12.8",26,"o",0.89831352357059,0.00686482291603915,0,0.0213689464486502,21.3
"279",39,"12.8",26,"o",0.89831352357059,0.00642289356404098,0,0.0191960135792782,21.8
"280",40,"12.8",26,"o",0.89831352357059,0.00639543595973642,0,0.0172440385969103,22.3
"281",41,"12.8",26,"o",0.89831352357059,0.00625195946580809,0,0.0154905530725778,22.8
"282",42,"12.8",26,"o",0.89831352357059,0.00598143326024279,0,0.0139153733126845,23.3
"283",43,"12.8",26,"o",0.89831352357059,0.00600058259040872,0,0.0125003680323178,23.8
"284",44,"12.8",26,"o",0.89831352357059,0.005964600554608,0,0.0112292496530406,24.3
