"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yo"
"201","7.1","2",0.127272727272727,"n",0.11864406779661,0.00522412680401521,11.8,0,59,0.0292311364051188,1.1
"202","8.5","2",0.142857142857143,"n",0.135593220338983,0.00558411098386617,13.1,0,59,0.0369805814277929,1.1
"203","10","2",0.21875,"n",0.2,0.0430642719185213,5.9,15.7,35,0.080728136870143,1.1
"204","11.4","2",0.233333333333333,"n",0.212121212121212,0.0535348228907006,6,19.1,33,0.111064207316688,1.1
"205","12.8","2",0.25,"n",0.21875,0.061002066046936,6.2,21.3,32,0.13604342485793,1.1
"206","14.3","2",0.125,"n",0.11864406779661,0.00719068788470355,20,0,59,0.0965414913248893,1.1
"207","15.7","2",0.125,"n",0.11864406779661,0.0076339936259695,21.1,0,59,0.112756290261972,1.1
"208","17.1","2",0.142857142857143,"n",0.135593220338983,0.00795519038707997,22.7,0,59,0.132907539610102,1.1
"209","18.6","2",0.148148148148148,"n",0.135593220338983,0.00878906354816418,22.7,0,59,0.143111566399478,1.1
"210","20","2",0.127272727272727,"n",0.11864406779661,0.0088825103738855,24.3,0,59,0.162506566226943,1.1
"211","7.1","0",0,"a",0,0.00522412680401521,11.8,0,59,0.0292311364051188,1.1
"212","8.5","0",0,"a",0,0.00558411098386617,13.1,0,59,0.0369805814277929,1.1
"213","10","0",0,"a",0,0.0430642719185213,5.9,15.7,35,0.080728136870143,1.1
"214","11.4","0",0,"a",0,0.0535348228907006,6,19.1,33,0.111064207316688,1.1
"215","12.8","0",0,"a",0,0.061002066046936,6.2,21.3,32,0.13604342485793,1.1
"216","14.3","0",0,"a",0,0.00719068788470355,20,0,59,0.0965414913248893,1.1
"217","15.7","0",0,"a",0,0.0076339936259695,21.1,0,59,0.112756290261972,1.1
"218","17.1","0",0,"a",0,0.00795519038707997,22.7,0,59,0.132907539610102,1.1
"219","18.6","0",0,"a",0,0.00878906354816418,22.7,0,59,0.143111566399478,1.1
"220","20","0",0,"a",0,0.0088825103738855,24.3,0,59,0.162506566226943,1.1
