"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Ba","Bn","Bn_Ba"
"151","7.1","0",0.814814814814815,"a",0.745762711864407,0.0648139879539391,9.1,0,59,0.0242341681943026,0.5,1,2
"152","8.5","0",0.851851851851852,"a",0.779661016949153,0.07195586921275,10.6,0,59,0.0315244260424192,0.5,1,2
"153","10","0",0.833333333333333,"a",0.76271186440678,0.0735828114471668,11.2,0,59,0.038709535911206,0.5,1,2
"154","11.4","0",0.851851851851852,"a",0.779661016949153,0.0766348704528518,12.1,0,59,0.0462105175300214,0.5,1,2
"155","12.8","0",0.851851851851852,"a",0.779661016949153,0.0787156288164054,13.5,0,59,0.0581706646584914,0.5,1,2
"156","14.3","0",0.833333333333333,"a",0.76271186440678,0.0798861007732619,14.9,0,59,0.0740501335417468,0.5,1,2
"157","15.7","0",0.833333333333333,"a",0.76271186440678,0.0866292209586766,15,0,59,0.0820232138360468,0.5,1,2
"158","17.1","0",0.833333333333333,"a",0.76271186440678,0.0876529582435664,16,0,59,0.095476908555013,0.5,1,2
"159","18.6","0",0.833333333333333,"a",0.76271186440678,0.0889981498803467,17,0,59,0.112133316726237,0.5,1,2
"160","20","0",0.851851851851852,"a",0.779661016949153,0.0915369321949101,17.7,0,59,0.126892577461897,0.5,1,2
"161","7.1","1",0.0925925925925926,"a",0.0847457627118644,0.0648139879539391,9.1,0,59,0.0242341681943026,0.5,1,2
"162","8.5","1",0.0185185185185185,"a",0.0169491525423729,0.07195586921275,10.6,0,59,0.0315244260424192,0.5,1,2
"163","10","1",0.0555555555555556,"a",0.0508474576271186,0.0735828114471668,11.2,0,59,0.038709535911206,0.5,1,2
"164","11.4","1",0.0185185185185185,"a",0.0169491525423729,0.0766348704528518,12.1,0,59,0.0462105175300214,0.5,1,2
"165","12.8","1",0.0185185185185185,"a",0.0169491525423729,0.0787156288164054,13.5,0,59,0.0581706646584914,0.5,1,2
"166","14.3","1",0.0555555555555556,"a",0.0508474576271186,0.0798861007732619,14.9,0,59,0.0740501335417468,0.5,1,2
"167","15.7","1",0.0555555555555556,"a",0.0508474576271186,0.0866292209586766,15,0,59,0.0820232138360468,0.5,1,2
"168","17.1","1",0.0555555555555556,"a",0.0508474576271186,0.0876529582435664,16,0,59,0.095476908555013,0.5,1,2
"169","18.6","1",0.0555555555555556,"a",0.0508474576271186,0.0889981498803467,17,0,59,0.112133316726237,0.5,1,2
"170","20","1",0.0185185185185185,"a",0.0169491525423729,0.0915369321949101,17.7,0,59,0.126892577461897,0.5,1,2
"171","7.1","2",0.0925925925925926,"a",0.0847457627118644,0.0648139879539391,9.1,0,59,0.0242341681943026,0.5,1,2
"172","8.5","2",0.12962962962963,"a",0.11864406779661,0.07195586921275,10.6,0,59,0.0315244260424192,0.5,1,2
"173","10","2",0.111111111111111,"a",0.101694915254237,0.0735828114471668,11.2,0,59,0.038709535911206,0.5,1,2
"174","11.4","2",0.12962962962963,"a",0.11864406779661,0.0766348704528518,12.1,0,59,0.0462105175300214,0.5,1,2
"175","12.8","2",0.12962962962963,"a",0.11864406779661,0.0787156288164054,13.5,0,59,0.0581706646584914,0.5,1,2
"176","14.3","2",0.111111111111111,"a",0.101694915254237,0.0798861007732619,14.9,0,59,0.0740501335417468,0.5,1,2
"177","15.7","2",0.111111111111111,"a",0.101694915254237,0.0866292209586766,15,0,59,0.0820232138360468,0.5,1,2
"178","17.1","2",0.111111111111111,"a",0.101694915254237,0.0876529582435664,16,0,59,0.095476908555013,0.5,1,2
"179","18.6","2",0.111111111111111,"a",0.101694915254237,0.0889981498803467,17,0,59,0.112133316726237,0.5,1,2
"180","20","2",0.12962962962963,"a",0.11864406779661,0.0915369321949101,17.7,0,59,0.126892577461897,0.5,1,2
"181","7.1","0",0,"n",0,0.0521741213643125,9.1,0,59,0.0241370347238594,0.7,1,1.42857142857143
"182","8.5","0",0,"n",0,0.0579251223401969,10.6,0,59,0.031398083020553,0.7,1,1.42857142857143
"183","10","0",0,"n",0,0.0592353484198646,11.2,0,59,0.0385543111286516,0.7,1,1.42857142857143
"184","11.4","0",0,"n",0,0.061693312312212,12.1,0,59,0.0460253342567671,0.7,1,1.42857142857143
"185","12.8","0",0,"n",0,0.0633690655724596,13.5,0,59,0.0579375643368429,0.7,1,1.42857142857143
"186","14.3","0",0,"n",0,0.0643117310045528,14.9,0,59,0.0737532363442949,0.7,1,1.42857142857143
"187","15.7","0",0,"n",0,0.0697414878653487,15,0,59,0.0816943558061772,0.7,1,1.42857142857143
"188","17.1","0",0,"n",0,0.070566055724826,16,0,59,0.0950943526968115,0.7,1,1.42857142857143
"189","18.6","0",0,"n",0,0.0716494564982685,17,0,59,0.111684035257892,0.7,1,1.42857142857143
"190","20","0",0,"n",0,0.0736941134319464,17.7,0,59,0.126384171868446,0.7,1,1.42857142857143
"191","7.1","1",0,"n",0,0.0521741213643125,9.1,0,59,0.0241370347238594,0.7,1,1.42857142857143
"192","8.5","1",0,"n",0,0.0579251223401969,10.6,0,59,0.031398083020553,0.7,1,1.42857142857143
"193","10","1",0,"n",0,0.0592353484198646,11.2,0,59,0.0385543111286516,0.7,1,1.42857142857143
"194","11.4","1",0,"n",0,0.061693312312212,12.1,0,59,0.0460253342567671,0.7,1,1.42857142857143
"195","12.8","1",0,"n",0,0.0633690655724596,13.5,0,59,0.0579375643368429,0.7,1,1.42857142857143
"196","14.3","1",0,"n",0,0.0643117310045528,14.9,0,59,0.0737532363442949,0.7,1,1.42857142857143
"197","15.7","1",0,"n",0,0.0697414878653487,15,0,59,0.0816943558061772,0.7,1,1.42857142857143
"198","17.1","1",0,"n",0,0.070566055724826,16,0,59,0.0950943526968115,0.7,1,1.42857142857143
"199","18.6","1",0,"n",0,0.0716494564982685,17,0,59,0.111684035257892,0.7,1,1.42857142857143
"200","20","1",0,"n",0,0.0736941134319464,17.7,0,59,0.126384171868446,0.7,1,1.42857142857143
"201","7.1","2",1,"n",0.0847457627118644,0.0521741213643125,9.1,0,59,0.0241370347238594,0.7,1,1.42857142857143
"202","8.5","2",1,"n",0.0847457627118644,0.0579251223401969,10.6,0,59,0.031398083020553,0.7,1,1.42857142857143
"203","10","2",1,"n",0.0847457627118644,0.0592353484198646,11.2,0,59,0.0385543111286516,0.7,1,1.42857142857143
"204","11.4","2",1,"n",0.0847457627118644,0.061693312312212,12.1,0,59,0.0460253342567671,0.7,1,1.42857142857143
"205","12.8","2",1,"n",0.0847457627118644,0.0633690655724596,13.5,0,59,0.0579375643368429,0.7,1,1.42857142857143
"206","14.3","2",1,"n",0.0847457627118644,0.0643117310045528,14.9,0,59,0.0737532363442949,0.7,1,1.42857142857143
"207","15.7","2",1,"n",0.0847457627118644,0.0697414878653487,15,0,59,0.0816943558061772,0.7,1,1.42857142857143
